,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,tags,replies,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,gif_url,gif_thumb,video_url,video_thumb,is_quote_status,quote_id,quote_url,is_reply_to,has_parent_tweet
34,1076362404320006145,1076332495736426497,1545459769000,2018-12-22,13:22:49,WIB,98844334,ravinovic,Ravindra Nugroho,,"Tadi pagi saya sudah mendaftar ke rsu pesanggrahan sesuai rujukan dari faskes 1 agar mendapat surat rujukan ke rs yg dituju, tetapi yg saya dapati untuk poli dalam sudah waiting list sampai tgl 12 januari. Sedangkan pasien harus kontrol pada tagl 26 des. Solusinya? (2/2)",[],"[{'id': 98844334, 'id_str': '98844334', 'screen_name': 'ravinovic'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],0,0,0,,[],https://twitter.com/ravinovic/status/1076362404320006145,,,,,,0,0,,1,1
40,1076361437314899968,1076332495736426497,1545459539000,2018-12-22,13:18:59,WIB,98844334,ravinovic,Ravindra Nugroho,,"Sebelumnya pasien di rawat inap masuk lewat igd, setelah rawat inap di haruskan untuk kontrol kembali, dan untuk kontrol harus membawa srt rujukan. Puskesmas cipulir tdk bisa memberi rujukan langsung ke rs trsbt harus ke rsu pesanggrahan terlebih dahulu. (1/2)",[],"[{'id': 98844334, 'id_str': '98844334', 'screen_name': 'ravinovic'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],2,0,0,,[],https://twitter.com/ravinovic/status/1076361437314899968,,,,,,0,0,,1,1
45,1076360158266052609,1068563398558810112,1545459234000,2018-12-22,13:13:54,WIB,719028114,alexaksis,Alex,,Nomer kartuku yg mana ini pic.twitter.com/tNqIxd7VYC,[],"[{'id': 719028114, 'id_str': '719028114', 'screen_name': 'AlexAksis'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],['https://pbs.twimg.com/media/Du__2jWU0AATvQ_.jpg'],1,0,0,,[],https://twitter.com/AlexAksis/status/1076360158266052609,,,,,,0,0,,1,1
46,1076357986954571776,1076297761560002560,1545458716000,2018-12-22,13:05:16,WIB,1055479641283059714,mundyraharjo,Om Mundy Raharjo,,"Urgen "" Tolong min saya seorang pegawai disalah satu instansi pemerintah provinsi jawa timur dan mengajukan pembuatan kartu BPJS untuk anak saya sudah 3 bulan menunggu Kok Belum jadi  juga padahal syarat syarat lengkap tolong bantu cek di kantor BPJS wilayah Surabaya timur .",[],"[{'id': 1055479641283059714, 'id_str': '1055479641283059714', 'screen_name': 'MundyRaharjo'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],1,0,0,,[],https://twitter.com/MundyRaharjo/status/1076357986954571776,,,,,,0,0,,1,1
47,1076356601613676545,1076356340862210048,1545458386000,2018-12-22,12:59:46,WIB,107068330,adzinimaula94,Adzini Maula Badria,,@BPJSKesehatanRI sudah saya lunasi pembayarannya.,[],"[{'id': 107068330, 'id_str': '107068330', 'screen_name': 'Adzinimaula94'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],0,0,0,,[],https://twitter.com/Adzinimaula94/status/1076356601613676545,,,,,,0,0,,1,1
50,1076356340862210048,1076356340862210048,1545458324000,2018-12-22,12:58:44,WIB,107068330,adzinimaula94,Adzini Maula Badria,,@BPJSKesehatanRI adakah cara lain untuk membuka pemblokiran kartu setelah kena premi selain datang ke kantor BPJS?,[],"[{'id': 107068330, 'id_str': '107068330', 'screen_name': 'Adzinimaula94'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],3,0,0,,[],https://twitter.com/Adzinimaula94/status/1076356340862210048,,,,,,0,0,,0,0
51,1076350863071862784,1076350863071862784,1545457018000,2018-12-22,12:36:58,WIB,86473696,wulanmarkywl,Wulan Ramadhani (울란 라마다니),,@BPJSKesehatanRI min BPJS PTT yang kemaren kira2 pengumuman hasil seleksi nya kapan ya? Dan bisa di lihat dimana tuh? Terima kasih sebelumnya.,[],"[{'id': 86473696, 'id_str': '86473696', 'screen_name': 'WulanMarkyWL'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],1,0,0,,[],https://twitter.com/WulanMarkyWL/status/1076350863071862784,,,,,,0,0,,0,0
53,1076348394640105472,1076348394640105472,1545456429000,2018-12-22,12:27:09,WIB,245742139,dindafebbyy,dinda febby pertiwi,,"@BPJSKesehatanRI selamat siang,  saya mau tanya.  Untuk pendaftaran bpjs bisa melalui online kan ya?  Tapi kenapa teman saya daftar online tetap harus ke kantor cabang?",[],"[{'id': 245742139, 'id_str': '245742139', 'screen_name': 'dindafebbyy'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],2,0,0,,[],https://twitter.com/dindafebbyy/status/1076348394640105472,,,,,,0,0,,0,0
60,1076335172855902208,1076335172855902208,1545453277000,2018-12-22,11:34:37,WIB,111534313,setia_isa,Setiawati Isa,,@BPJSKesehatanRI Assalamualaikum min. Pengumuman adm. PTT BPJS Kesehatan serentak atau per wilayah yang dipilih ?,[],"[{'id': 111534313, 'id_str': '111534313', 'screen_name': 'setia_isa'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],1,0,0,,[],https://twitter.com/setia_isa/status/1076335172855902208,,,,,,0,0,,0,0
61,1076334320665542656,1076074622569742337,1545453074000,2018-12-22,11:31:14,WIB,722837912685977602,albyvino2,albyvino,,Oke jadi kita buka tabungan untuk melunasi tunggakan ya.. oke terimakasih,[],"[{'id': 722837912685977602, 'id_str': '722837912685977602', 'screen_name': 'albyvino2'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],1,0,0,,[],https://twitter.com/albyvino2/status/1076334320665542656,,,,,,0,0,,1,1
63,1076333248064540672,1076332495736426497,1545452818000,2018-12-22,11:26:58,WIB,98844334,ravinovic,Ravindra Nugroho,,"@BPJSKesehatanRI pesanggrahan full dr. nya sampai bulan depan diketahui kalau ingin minta surat rujukan harus dgn dokter, sedangkan si pasien harus kontrol per tgl 26/12 ke rs yg merawat inap sang pasien. Solusinya bagaimana ya? 2/2",[],"[{'id': 98844334, 'id_str': '98844334', 'screen_name': 'ravinovic'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],0,0,0,,[],https://twitter.com/ravinovic/status/1076333248064540672,,,,,,0,0,,1,1
65,1076332495736426497,1076332495736426497,1545452638000,2018-12-22,11:23:58,WIB,98844334,ravinovic,Ravindra Nugroho,,"@BPJSKesehatanRI siang min, mau nanya. Pasien ingin melakukan kontrol setelah di rawat inap tetapi untuk kontrol ke 2 terganjal surat rujukan, dimana utk faskes 1 tidak mendukung untuk langsung ke rs tersebut, dari faskes satu di rujuk ke rsu pesanggrahan, tetapi untuk rsu.1/2",[],"[{'id': 98844334, 'id_str': '98844334', 'screen_name': 'ravinovic'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],3,0,0,,[],https://twitter.com/ravinovic/status/1076332495736426497,,,,,,0,0,,0,0
66,1076325739421523968,1076325739421523968,1545451028000,2018-12-22,10:57:08,WIB,822247893763387392,mrasepwahyudin2,@mrasep,,@BPJSKesehatanRI apakah kantor bpjs yg di jl.pelajar pejuang 45 bandung pindah ?,[],"[{'id': 822247893763387392, 'id_str': '822247893763387392', 'screen_name': 'mrasepwahyudin2'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],1,0,0,,[],https://twitter.com/mrasepwahyudin2/status/1076325739421523968,,,,,,0,0,,0,0
71,1076322408510803973,1076322408510803973,1545450233000,2018-12-22,10:43:53,WIB,169788336,sitialihsani,Siti Asiyahwati,,@BPJSKesehatanRI ini hoax kan min?  pic.twitter.com/Yu5kxDBANQ,[],"[{'id': 169788336, 'id_str': '169788336', 'screen_name': 'sitialihsani'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],['https://pbs.twimg.com/media/Du_dMtCVAAE9Hwa.jpg'],3,0,0,,[],https://twitter.com/sitialihsani/status/1076322408510803973,,,,,,0,0,,0,0
72,1076319659731804160,1076319659731804160,1545449578000,2018-12-22,10:32:58,WIB,77716675,ipul46,Saiful Rahman,,@BPJSKesehatanRI Minta tolong cek nomor kartu : 0001969502062 apakah masih aktif atau tidak bisa digunakan. Terus faskes 1 nya di Puskesmas mana ya ? Trims.,[],"[{'id': 77716675, 'id_str': '77716675', 'screen_name': 'ipul46'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],1,0,0,,[],https://twitter.com/ipul46/status/1076319659731804160,,,,,,0,0,,0,0
74,1076315545178230785,1076074622569742337,1545448597000,2018-12-22,10:16:37,WIB,722837912685977602,albyvino2,albyvino,,Harus nabung dulu di bank itu min.. atau langsung aja nyicil sesuai kemampuan di program itu tanpa nabung  dulu,[],"[{'id': 722837912685977602, 'id_str': '722837912685977602', 'screen_name': 'albyvino2'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],1,0,0,,[],https://twitter.com/albyvino2/status/1076315545178230785,,,,,,0,0,,1,1
75,1076315401540136960,1076109153804795906,1545448563000,2018-12-22,10:16:03,WIB,74116987,ardeliana,Ardeliana Gunawan,,Baik. Saya sudah DM. terimakasih,[],"[{'id': 74116987, 'id_str': '74116987', 'screen_name': 'ardeliana'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],1,0,0,,[],https://twitter.com/ardeliana/status/1076315401540136960,,,,,,0,0,,1,1
77,1076314575383932928,1076296085893656577,1545448366000,2018-12-22,10:12:46,WIB,898898221413433348,bryanesia,pojokKritis/bryan,,Dengan royong gotong...,[],"[{'id': 898898221413433348, 'id_str': '898898221413433348', 'screen_name': 'bryanesia'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],0,0,0,,[],https://twitter.com/bryanesia/status/1076314575383932928,,,,,,0,0,,1,1
83,1076310998686912513,1068563398558810112,1545447513000,2018-12-22,09:58:33,WIB,719028114,alexaksis,Alex,,"Saya sudah membayar iuran tertanggal 10 Desember 2018 tapi sampai saat ini kartu blm dateng jg,...knp..?",[],"[{'id': 719028114, 'id_str': '719028114', 'screen_name': 'AlexAksis'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],1,0,0,,[],https://twitter.com/AlexAksis/status/1076310998686912513,,,,,,0,0,,1,1
84,1076309313147232257,1076309313147232257,1545447111000,2018-12-22,09:51:51,WIB,297699928,zein2019,Lan Rizky,,Saya mau turun kelas 3 dari kelas 2 prosedurnnya bgmn ya? Saya mau nambah daftar anggota juga @BPJSKesehatanRI jogja,[],"[{'id': 297699928, 'id_str': '297699928', 'screen_name': 'zein2019'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],3,1,0,,[],https://twitter.com/zein2019/status/1076309313147232257,,,,,,0,0,,0,0
91,1076304608564105216,1075753172335878145,1545445990000,2018-12-22,09:33:10,WIB,108272963,gunsh64,Gunawan Sri Haryono,,"Iya, terima kasih info pelurusan ini. Kiranya membuat jelas.",[],"[{'id': 108272963, 'id_str': '108272963', 'screen_name': 'gunsh64'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],1,0,0,,[],https://twitter.com/gunsh64/status/1076304608564105216,,,,,,0,0,,1,1
93,1076304001455480833,1076304001455480833,1545445845000,2018-12-22,09:30:45,WIB,1076156495614554112,chepi1704,Chepi,,@BPJSKesehatanRI pagi pagi Nemu beginian d fb apa benar?  pic.twitter.com/ro2joDr76B,[],"[{'id': 1076156495614554112, 'id_str': '1076156495614554112', 'screen_name': 'Chepi1704'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],['https://pbs.twimg.com/media/Du_MxsUVYAAyIsr.jpg'],3,0,0,,[],https://twitter.com/Chepi1704/status/1076304001455480833,,,,,,0,0,,0,0
94,1076303776082911237,1075760283715432449,1545445791000,2018-12-22,09:29:51,WIB,394326258,munasir88,Muhammad Nasir,,"Tepat sekali romo, & kerena kesalahan manajemen tersebut BPJS banyak menunggak bayaran Rumah Sakit yg jadi mitranya, hal ini sangat memberatkan RS dan pasti para dokter juga keba imbas, padahal mereka dituntut profesional tapi kalau pembayarannya tdk profesional ya gimana gitu 😢",[],"[{'id': 394326258, 'id_str': '394326258', 'screen_name': 'munasir88'}, {'id': 145154620, 'id_str': '145154620', 'screen_name': 'asboediono'}, {'id': 935547957234954240, 'id_str': '935547957234954240', 'screen_name': 'SwadesiNKRI'}, {'id': 576755999, 'id_str': '576755999', 'screen_name': 'bengkeldodo'}, {'id': 252415154, 'id_str': '252415154', 'screen_name': 'Ronnie_Rusli'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}, {'id': 592974085, 'id_str': '592974085', 'screen_name': 'aditnamasaya'}, {'id': 1109198178, 'id_str': '1109198178', 'screen_name': 'HMSoeharto1921'}, {'id': 142718499, 'id_str': '142718499', 'screen_name': 'bpkri'}, {'id': 104714478, 'id_str': '104714478', 'screen_name': 'KPK_RI'}]",[],[],[],0,0,0,,[],https://twitter.com/munasir88/status/1076303776082911237,,,,,,0,0,,1,1
95,1076303572621352960,1074663748709699584,1545445743000,2018-12-22,09:29:03,WIB,53317861,curutterbang,Jazmi,,"gak takon kui cak. tanya ada dokter spesialis mboten?? lalu apa benar bpjs jadi syarat mengurus stnk, imb, surat tanah dll??",[],"[{'id': 53317861, 'id_str': '53317861', 'screen_name': 'curutterbang'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],0,0,0,,[],https://twitter.com/curutterbang/status/1076303572621352960,,,,,,0,0,,1,1
100,1076300807828430848,1076296085893656577,1545445083000,2018-12-22,09:18:03,WIB,1977384672,dyh4n1,dyhani novitasari,,"Ibu pahlawan ku,,,love u ibu #BPJSKesPeduliIbu",[],"[{'id': 1977384672, 'id_str': '1977384672', 'screen_name': 'dyh4n1'}, {'id': 1003432539304779776, 'id_str': '1003432539304779776', 'screen_name': 'indrawko7'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],0,1,2,,['#bpjskespeduliibu'],https://twitter.com/dyh4n1/status/1076300807828430848,,,,,,0,0,,1,1
103,1076300083056979968,1076297761560002560,1545444911000,2018-12-22,09:15:11,WIB,1977384672,dyh4n1,dyhani novitasari,,"Kasih Ibu kepada Beta, tak terhingga sepanjang masa,,,Selamat Hari Ibu #BPJSKesPeduliIbu",[],"[{'id': 1977384672, 'id_str': '1977384672', 'screen_name': 'dyh4n1'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],0,4,4,,['#bpjskespeduliibu'],https://twitter.com/dyh4n1/status/1076300083056979968,,,,,,0,0,,1,1
105,1076299898788532225,1076296085893656577,1545444867000,2018-12-22,09:14:27,WIB,1003432539304779776,indrawko7,Indrawko7,,Luf bpjs,[],"[{'id': 1003432539304779776, 'id_str': '1003432539304779776', 'screen_name': 'indrawko7'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],1,0,0,,[],https://twitter.com/indrawko7/status/1076299898788532225,,,,,,0,0,,1,1
106,1076298621031669765,1076298621031669765,1545444562000,2018-12-22,09:09:22,WIB,3243122624,3db9a5e21ee1474,AAN harmiyani,,@BPJSKesehatanRI  Bagaimana cara melaporkan peserta BPJS yang sudah meninggal dunia?,[],"[{'id': 3243122624, 'id_str': '3243122624', 'screen_name': '3db9a5e21ee1474'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],1,0,0,,[],https://twitter.com/3db9a5e21ee1474/status/1076298621031669765,,,,,,0,0,,0,0
116,1076293939471077376,1076074622569742337,1545443446000,2018-12-22,08:50:46,WIB,722837912685977602,albyvino2,albyvino,,Apa bayar tunggakan bisa di bayar separuh dulu dari jumlah tagihan,[],"[{'id': 722837912685977602, 'id_str': '722837912685977602', 'screen_name': 'albyvino2'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],1,0,0,,[],https://twitter.com/albyvino2/status/1076293939471077376,,,,,,0,0,,1,1
118,1076291158328762368,1076278232771522561,1545442783000,2018-12-22,08:39:43,WIB,4810459448,ipankz0321,ipankz,,Tapi Nenek Saya malah disuruh bayar dengan dalih alatnya harus dibeli dan dokter nya dari kls 2 jadi ada selisih yg mesti dibayar total -+ 10 jt bgmana itu?,[],"[{'id': 4810459448, 'id_str': '4810459448', 'screen_name': 'ipankz0321'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],1,0,0,,[],https://twitter.com/ipankz0321/status/1076291158328762368,,,,,,0,0,,1,1
119,1076290585412001792,1076290585412001792,1545442646000,2018-12-22,08:37:26,WIB,2283421472,chrisando_,©®™,,"@BPJSKesehatanRI min utk pendaftaran orang u-40++, prosedurnya gimana ya? ty",[],"[{'id': 2283421472, 'id_str': '2283421472', 'screen_name': 'chrisando_'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],3,0,0,,[],https://twitter.com/chrisando_/status/1076290585412001792,,,,,,0,0,,0,0
128,1076289523003211777,1076138095706140678,1545442393000,2018-12-22,08:33:13,WIB,2158565066,el_muhvi,Muhammad Lutvi,,"terima kasih bapak/ibu, untuk pendaftaran sudah lewat,, jadi utk pengumuman hasil rekrutmennya dimana dilihat dan kapan info nya ya min? maaf sebelumnya, terima kasih😃",[],"[{'id': 2158565066, 'id_str': '2158565066', 'screen_name': 'el_muhvi'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],1,0,0,,[],https://twitter.com/el_muhvi/status/1076289523003211777,,,,,,0,0,,1,1
129,1076288959448137728,1076270370171179008,1545442259000,2018-12-22,08:30:59,WIB,360909066,deni_uduk,Deni Uduk Irawan,,Baik terima kasih infonya min. Selamat pagi & selamat beraktivitas 🙏👍,[],"[{'id': 360909066, 'id_str': '360909066', 'screen_name': 'deni_uduk'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],1,0,0,,[],https://twitter.com/deni_uduk/status/1076288959448137728,,,,,,0,0,,1,1
133,1076282258560937984,1076282258560937984,1545440661000,2018-12-22,08:04:21,WIB,910875698977423365,aurorabutik17,Aurora Butik,,@BPJSKesehatanRI 0000091449821 no ini sdh perubshsn faskes november akhir tetapi di jkn blm ada perubahasn ya ?,[],"[{'id': 910875698977423365, 'id_str': '910875698977423365', 'screen_name': 'aurorabutik17'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],1,0,0,,[],https://twitter.com/aurorabutik17/status/1076282258560937984,,,,,,0,0,,0,0
134,1076278903436599296,1076278903436599296,1545439861000,2018-12-22,07:51:01,WIB,83853900,theangelwing,Andre Katsuu,,Nunggak #BPJS tak bisa urus SIM dan STNK. Indikasi adanya pemaksaan/pemerasan yang disertai dengan ancaman oleh @BPJSKesehatanRI kepada masyarakat ?   https://m.detik.com/health/berita-detikhealth/d-4353851/nunggak-bpjs-tak-bisa-urus-sim-stnk-aturannya-ada-di-pp-86-tahun-2013# …,[],"[{'id': 83853900, 'id_str': '83853900', 'screen_name': 'theangelwing'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],['https://m.detik.com/health/berita-detikhealth/d-4353851/nunggak-bpjs-tak-bisa-urus-sim-stnk-aturannya-ada-di-pp-86-tahun-2013#'],[],3,0,0,,['#bpjs'],https://twitter.com/theangelwing/status/1076278903436599296,,,,,,0,0,,0,0
135,1076278656853409792,1075244253335322624,1545439802000,2018-12-22,07:50:02,WIB,1075243238091419648,tiantidewi1,Tiantidewi,,Berarti secara otomatis bayi baru lahir biaya rumah dakit tertanggung oleh BPJS ibunya? Baru setelah itu lapor untuk BPJS bayi itu sendiri dalam waktu 28 hari?,[],"[{'id': 1075243238091419648, 'id_str': '1075243238091419648', 'screen_name': 'Tiantidewi1'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",[],[],[],2,0,0,,[],https://twitter.com/Tiantidewi1/status/1076278656853409792,,,,,,0,0,,1,1
136,1076278232771522561,1076278232771522561,1545439701000,2018-12-22,07:48:21,WIB,4810459448,ipankz0321,ipankz,,@BPJSKesehatanRI  apakah operasi wasir tidak di tanggung bpjs?,[],"[{'id': 4810459448, 'id_str': '4810459448', 'screen_name': 'ipankz0321'}, {'id': 1522337929, 'id_str': '1522337929', 'screen_name': 'BPJSKesehatanRI'}]",['bpjskesehatanri'],[],[],1,0,0,,[],https://twitter.com/ipankz0321/status/1076278232771522561,,,,,,0,0,,0,0
